 DEA,QDEA1,QDEA2,
  0.45492793,  0.50771479,  0.53012305,
  0.52681475,  0.59388067,  0.61198705,
  0.56830217,  0.64040232,  0.65989458,
  0.39201488,  0.44319045,  0.46026053,
  0.46971750,  0.52229105,  0.54602432,
  0.48449425,  0.53787591,  0.57087794,
  0.51282617,  0.56848104,  0.60336088,
  0.41452999,  0.46631894,  0.47860939,
  0.42156915,  0.48344927,  0.50710937,
  0.52156424,  0.57766703,  0.61311049,
  0.43059850,  0.48444067,  0.50200958,
  0.53689560,  0.61497171,  0.64034338,
  0.54415138,  0.61582259,  0.63818861,
  0.37795381,  0.43230684,  0.45001934,
  0.45440920,  0.52238901,  0.54896987,
  0.46716689,  0.52750322,  0.54487298,
  0.45796474,  0.51548978,  0.53022218,
  0.45015935,  0.49975799,  0.53042124,
  0.47623830,  0.54146990,  0.56076567,
  0.50701269,  0.58010408,  0.60389468,
  0.40927740,  0.46140658,  0.47886368,
  0.57393479,  0.75245398,  0.80179703,
  0.51351006,  0.58213463,  0.60524097,
  0.49749655,  0.55564664,  0.58010647,
  0.50157199,  0.56411023,  0.57959515,
  0.47771065,  0.54669940,  0.56545934,
  0.44771804,  0.50392513,  0.52333542,
  0.47417735,  0.56767905,  0.60606474,
  0.42868401,  0.48394791,  0.49986971,
  0.51629292,  0.66176203,  0.70515785,
  0.61133170,  0.68776844,  0.71270819,
  0.52562234,  0.58353550,  0.61933902,
  0.47011109,  0.52935066,  0.54532955,
  0.48217467,  0.54597789,  0.56724063,
  0.46499560,  0.54985473,  0.58320003,
  0.52558633,  0.59764598,  0.62444981,
  0.41909980,  0.49028110,  0.52190136,
  0.61959513,  0.68999919,  0.72116234,
  0.48729790,  0.54817899,  0.56575424,
  0.55945649,  0.63914988,  0.66107379,
  0.54907718,  0.62445503,  0.65250615,
  0.43337602,  0.49215075,  0.50963514,
  0.53878363,  0.60676415,  0.63019322,
  0.48393758,  0.54746650,  0.56865237,
  0.49027930,  0.55241980,  0.56921394,
  0.47100311,  0.53935124,  0.56158925,
  0.45562863,  0.51315305,  0.52867929,
  0.45794748,  0.50840421,  0.53959796,
  0.50747524,  0.57083843,  0.58591359,
  0.57571120,  0.64726435,  0.67384791,
  0.44663223,  0.50225155,  0.51808599,
  0.39807389,  0.44985111,  0.46620969,
  0.59699640,  0.66277356,  0.70343883,
  0.42049575,  0.48921236,  0.51702441,
  0.40321415,  0.45356431,  0.46553845,
  0.56780203,  0.64087815,  0.66194236,
  0.32837915,  0.36437282,  0.38672936,
  0.46894019,  0.53275485,  0.55170302,
  0.49462940,  0.54763098,  0.58536730,
  0.45776904,  0.51722880,  0.53627376,
  0.53179879,  0.58963811,  0.62581607,
  0.48783272,  0.54949334,  0.56614237,
  0.44135040,  0.49898444,  0.51709257,
  0.61093458,  0.68707040,  0.70883763,
  0.47150551,  0.53444722,  0.55428741,
  0.48316589,  0.56943632,  0.60654700,
  0.50918982,  0.58385564,  0.61241862,
  0.51322211,  0.58543340,  0.60693066,
  0.46676019,  0.54213927,  0.57254571,
  0.42861307,  0.52639438,  0.56091331,
  0.36724578,  0.46382889,  0.49424501,
  0.40314641,  0.49353444,  0.52586676,
  0.42915345,  0.51681851,  0.55217001,
  0.47216291,  0.53508665,  0.55641668,
  0.55303772,  0.63030280,  0.65337731,
  0.48228113,  0.56176365,  0.59391277,
  0.45243721,  0.51335955,  0.53380865,
  0.53071477,  0.60106139,  0.62489668,
  0.38136623,  0.50782129,  0.54112226,
  0.57097500,  0.65100236,  0.68221065,
  0.47260166,  0.53548209,  0.55679448,
  0.43866792,  0.49611534,  0.51412411,
  0.39812361,  0.44350820,  0.46351239,
  0.43289164,  0.49520274,  0.51925598,
  0.47364388,  0.53620074,  0.55705146,
  0.44127481,  0.50151375,  0.52171093,
  0.44433068,  0.49976612,  0.51299887,
  0.46848646,  0.58152671,  0.61966101,
  0.53485308,  0.59378329,  0.63021557,
  0.53161333,  0.60111106,  0.62429405,
  0.54411866,  0.65444151,  0.69910368,
  0.30892472,  0.35379646,  0.37104245,
  0.59571277,  0.71718139,  0.76621066,
  0.39368646,  0.44287732,  0.45454519,
  0.53781405,  0.60502696,  0.62095614,
  0.55836731,  0.62877891,  0.64777588,
  0.44706245,  0.50288019,  0.51616250,
  0.57887065,  0.65198697,  0.67172451,
  0.62558373,  0.71636329,  0.74094859,
  0.51175770,  0.57887666,  0.60255097,
  0.69506858,  0.78430205,  0.81357268,
  0.45644229,  0.52017306,  0.54505780,
  0.55618177,  0.62921376,  0.65356819,
  0.52922438,  0.60411223,  0.62632206,
  0.61165583,  0.67904818,  0.72071199,
  0.44076312,  0.50130265,  0.51917739,
  0.62123993,  0.68860317,  0.73085324,
  0.55785014,  0.62760787,  0.64775302,
  0.49682658,  0.56764745,  0.59507664,
  0.39222070,  0.44464788,  0.46116577,
  0.55166566,  0.62037509,  0.64011540,
  0.47462782,  0.52845939,  0.55234483,
  0.45854668,  0.51565000,  0.53185293,
  0.76044271,  0.85514279,  0.87889438,
  0.48150853,  0.63904174,  0.68094765,
  0.46448103,  0.52745422,  0.54927685,
  0.50607437,  0.59024495,  0.62426716,
  0.50503860,  0.57370838,  0.59748072,
  0.41294985,  0.46578220,  0.48001679,
  0.45964698,  0.51755582,  0.53237207,
  0.50058112,  0.56855523,  0.59209774,
  0.46236567,  0.52356121,  0.54429325,
  0.52219076,  0.60097769,  0.62168108,
  0.61492249,  0.75112564,  0.80029301,
  0.56759023,  0.70122888,  0.74721279,
  0.43946142,  0.49516735,  0.51396009,
  0.62460422,  0.70257824,  0.72114347,
  0.55314602,  0.62703881,  0.65192240,
  0.65486862,  0.75073226,  0.78176487,
  0.55987466,  0.62966757,  0.64979705,
  0.31025514,  0.37080658,  0.39576256,
  0.55124064,  0.62250624,  0.64542464,
  0.43922978,  0.49517742,  0.51027860,
  0.50645104,  0.57160915,  0.59265088,
  0.53867120,  0.60964950,  0.63331194,
  0.50708637,  0.57109575,  0.58837126,
  0.47742024,  0.53712635,  0.55661268,
  0.33206028,  0.38034903,  0.39604096,
  0.55420548,  0.62330050,  0.64041997,
  0.60411999,  0.70557838,  0.75088770,
  0.47576566,  0.53689788,  0.55692913,
  0.49118300,  0.54866916,  0.57281067,
  0.49860321,  0.56348508,  0.58398778,
  0.47948712,  0.53920019,  0.55631340,
  0.58179975,  0.67178641,  0.70575799,
  0.53495925,  0.61253109,  0.63778098,
  0.59219870,  0.77598200,  0.82686793,
  0.47060368,  0.54217844,  0.56990234,
  0.55575300,  0.64437794,  0.67707178,
  0.51085633,  0.57646748,  0.59539011,
  0.46185065,  0.53032042,  0.55679730,
  0.42523839,  0.51065464,  0.54540421,
  0.40085001,  0.45372098,  0.47134536,
  0.40669889,  0.45974741,  0.47744162,
  0.54712578,  0.61763559,  0.64037268,
  0.55558431,  0.62542926,  0.64331676,
  0.51857701,  0.58452213,  0.60233393,
  0.48770708,  0.55395012,  0.57689098,
  0.53538745,  0.60207675,  0.62117470,
  0.51193673,  0.58902995,  0.61907125,
  0.51267524,  0.57849534,  0.60223977,
  0.57320816,  0.64460890,  0.66513754,
  0.53488294,  0.60167563,  0.61755931,
  0.48341064,  0.53667291,  0.56960112,
  0.50348985,  0.56660903,  0.58480435,
  0.35080228,  0.43621047,  0.46481548,
  0.50984862,  0.57618551,  0.59740233,
  0.47199521,  0.58557587,  0.62397569,
  0.44231545,  0.51770515,  0.55112840,
  0.51696065,  0.59431854,  0.61478915,
  0.52112393,  0.59052776,  0.61405312,
  0.48172562,  0.60297477,  0.64251555,
  0.58150193,  0.74887751,  0.79798603,
  0.54828276,  0.61687589,  0.63927332,
  0.40454096,  0.45517074,  0.46979376,
  0.65511043,  0.73573317,  0.76594031,
  0.52117933,  0.59369544,  0.62137078,
  0.49298462,  0.59220005,  0.63252250,
  0.64318948,  0.72333492,  0.74642866,
  0.52542272,  0.59753144,  0.62436307,
  0.48981092,  0.55427166,  0.57576360,
  0.49992207,  0.56588305,  0.58787029,
  0.62174363,  0.69956695,  0.72499528,
  0.52224377,  0.61299353,  0.65272778,
  0.54107082,  0.60906540,  0.63253696,
  0.51051943,  0.56676855,  0.60154331,
  0.54825819,  0.62422176,  0.65328850,
  0.51101838,  0.57736796,  0.59862708,
  0.55928375,  0.62924495,  0.65208559,
  0.54629839,  0.61461167,  0.63690426,
  0.41766229,  0.46972929,  0.48263859,
  0.52088350,  0.58574977,  0.60205082,
  0.54238404,  0.67724379,  0.72165485,
  0.55619562,  0.61912255,  0.64713400,
  0.36215006,  0.40855670,  0.42381424,
  0.46379576,  0.51489685,  0.54648897,
  0.50655278,  0.57690399,  0.59752258,
  0.49110063,  0.55305872,  0.57578154,
  0.49123900,  0.55276354,  0.57257813,
  0.68310912,  0.75837419,  0.80490516,
  0.49637137,  0.59732033,  0.63812258,
  0.51020951,  0.57401982,  0.59484716,
  0.58034982,  0.69755504,  0.74510173,
  0.51105799,  0.57598124,  0.59352433,
  0.62793894,  0.71054964,  0.73635325,
  0.49812356,  0.56034777,  0.57830964,
  0.46772769,  0.52605791,  0.54288423,
  0.52119623,  0.58610224,  0.60238251,
  0.53142747,  0.61558157,  0.64680192,
  0.49794357,  0.57033006,  0.59813975,
  0.50101665,  0.56388735,  0.58560262,
  0.68879283,  0.77707344,  0.80609124,
  0.65549420,  0.73800646,  0.75912573,
  0.53166849,  0.59789752,  0.61694406,
  0.53944021,  0.60214215,  0.62870163,
  0.55046154,  0.60945280,  0.65142659,
  0.54746428,  0.61575818,  0.63206902,
  0.55460988,  0.62376451,  0.64088125,
  0.54570868,  0.61749572,  0.63991992,
  0.55554588,  0.62711708,  0.64774207,
  0.51466787,  0.61150330,  0.65182513,
  0.49514334,  0.56164907,  0.58399669,
  0.49961699,  0.56399819,  0.58254999,
  0.57139174,  0.64300308,  0.66365312,
  0.55153855,  0.61230716,  0.64987600,
  0.60009460,  0.66445131,  0.70515158,
  0.58724959,  0.70338207,  0.75099738,
  0.55318254,  0.62757847,  0.65096592,
  0.61338775,  0.68977298,  0.71156330,
  0.58465378,  0.66242092,  0.68696642,
  0.62136400,  0.69874518,  0.71811570,
  0.55732201,  0.63031905,  0.65466723,
  0.61066222,  0.69122696,  0.71633547,
  0.54210989,  0.61309883,  0.63677766,
  0.52486864,  0.59909557,  0.62302466,
  0.58435391,  0.66246941,  0.68876860,
  0.55896137,  0.64179484,  0.67383251,
  0.55345408,  0.62263384,  0.64260872,
  0.63640201,  0.72961923,  0.75978450,
  0.59415531,  0.67319342,  0.69998178,
  0.59331771,  0.67211291,  0.69881514,
  0.41143492,  0.50241739,  0.53529810,
  0.48226728,  0.54232490,  0.55740678,
  0.53535008,  0.61452941,  0.64518294,
  0.50991555,  0.57785372,  0.60088307,
  0.51875940,  0.57886945,  0.60443070,
  0.53573765,  0.60310140,  0.62634978,
  0.68756402,  0.76293337,  0.80974407,
  0.52665380,  0.59596556,  0.61907482,
  0.49234388,  0.58690301,  0.62605086,
  0.47540615,  0.54658319,  0.56541354,
  0.53447773,  0.60250548,  0.62531146,
  0.54505226,  0.62582898,  0.64867067,
  0.58949118,  0.66800780,  0.69462229,
  0.46220870,  0.58143269,  0.61956082,
  0.48821461,  0.55291215,  0.57483293,
  0.49721835,  0.56414881,  0.58414178,
  0.47691530,  0.52859382,  0.56102633,
  0.47754423,  0.53712333,  0.55134531,
  0.69029878,  0.78698048,  0.82469255,
  0.56501836,  0.63574746,  0.65617067,
  0.51525387,  0.58070517,  0.59839149,
  0.67650203,  0.76081835,  0.78491509,
  0.49211017,  0.55599351,  0.57646550,
  0.53954730,  0.60846558,  0.62704641,
  0.52407597,  0.61806629,  0.65838198,
  0.72219887,  0.80177086,  0.85096448,
  0.60199257,  0.67998000,  0.70501581,
  0.60208159,  0.68497575,  0.70941189,
  0.49915072,  0.63871117,  0.68059540,
  0.49473931,  0.55635117,  0.57178150,
  0.58029102,  0.65834454,  0.68288046,
  0.43364257,  0.49019761,  0.50798475,
  0.47041495,  0.53162521,  0.55096721,
  0.57789733,  0.75963884,  0.80945304,
  0.65043711,  0.73430630,  0.76133881,
  0.52510989,  0.60380570,  0.62461430,
  0.41324716,  0.46507391,  0.48175163,
  0.53392884,  0.60316600,  0.62537424,
  0.66495058,  0.74775962,  0.76849537,
  0.57404342,  0.64680172,  0.67135089,
  0.53100869,  0.59823279,  0.61639367,
  0.55265601,  0.62147791,  0.64118671,
  0.51930941,  0.58548410,  0.60334275,
  0.67982260,  0.77067557,  0.80126603,
  0.55421722,  0.71960011,  0.76678872,
  0.51443953,  0.58783055,  0.61625045,
  0.59771944,  0.67153407,  0.69910854,
  0.48004214,  0.54166900,  0.56188456,
  0.39531208,  0.45617029,  0.47922087,
  0.42897285,  0.52325233,  0.55747066,
  0.65230305,  0.73575110,  0.75823522,
  0.46669229,  0.52612049,  0.54216307,
  0.49010891,  0.56421668,  0.58365131,
  0.45173800,  0.50016761,  0.53455628,
  0.61652440,  0.69790768,  0.72503468,
  0.59675880,  0.75149548,  0.80077567,
  0.63700118,  0.72352771,  0.74924545,
  0.53580881,  0.64982963,  0.69213609,
  0.58797008,  0.66119248,  0.67952530,
  0.65210878,  0.72210118,  0.76637683,
  0.53569726,  0.59884426,  0.62512537,
  0.48401885,  0.55057636,  0.57271238,
  0.55128524,  0.61202594,  0.64957752,
  0.52688565,  0.60041033,  0.62912471,
  0.47835242,  0.53105737,  0.56364103,
  0.59390836,  0.66866958,  0.68780480,
  0.46461080,  0.52263914,  0.53938868,
  0.60951085,  0.70532683,  0.74107884,
  0.46078916,  0.51083900,  0.54218215,
  0.50269012,  0.57254119,  0.59923053,
  0.63722557,  0.70743519,  0.75084073,
  0.53917570,  0.60786530,  0.62640449,
  0.55117623,  0.62897161,  0.65921576,
  0.58689643,  0.66829401,  0.69942561,
  0.36134975,  0.41409414,  0.43119689,
  0.57593338,  0.63938981,  0.67862035,
  0.45683609,  0.54372053,  0.57979186,
  0.46957967,  0.61919229,  0.65979654,
  0.59797532,  0.66348176,  0.70419048,
  0.50411948,  0.56877445,  0.58742816,
  0.52342057,  0.60065687,  0.63058329,
  0.53931315,  0.61601031,  0.63713953,
  0.40850145,  0.46710330,  0.48622329,
  0.44387641,  0.50623521,  0.53053185,
  0.63887996,  0.71419819,  0.74554051,
  0.57572613,  0.65464087,  0.68399200,
  0.61174612,  0.69441452,  0.72244463,
  0.60316016,  0.69998331,  0.73551184,
  0.68018917,  0.78434804,  0.82394743,
  0.52829454,  0.62493864,  0.66286786,
  0.61851025,  0.82359853,  0.87760696,
  0.55252768,  0.64404672,  0.68105092,
  0.57283030,  0.67456749,  0.71848301,
  0.66685491,  0.74009096,  0.78550013,
  0.55596381,  0.62539620,  0.64190033,
  0.61918108,  0.69667399,  0.71905565,
  0.60170320,  0.67810687,  0.69875598,
  0.49300262,  0.57753469,  0.61486656,
  0.59397561,  0.67047985,  0.69252774,
  0.48527860,  0.57026003,  0.60728155,
  0.57146588,  0.64277551,  0.66335097,
  0.46423973,  0.52274188,  0.54421863,
  0.59498155,  0.68033313,  0.70367430,
  0.62814725,  0.70660919,  0.72524477,
  0.53156763,  0.60832606,  0.63329014,
  0.44181397,  0.50273648,  0.52067715,
  0.59198243,  0.69095662,  0.73091218,
  0.64411118,  0.72347703,  0.75318217,
  0.66108026,  0.75051127,  0.77715223,
  0.54139451,  0.60467295,  0.63129135,
  0.68788019,  0.78657250,  0.81877087,
  0.64800821,  0.71744857,  0.76687517,
  0.46069613,  0.51145571,  0.54283669,
  0.51715019,  0.58302656,  0.60080727,
  0.69815356,  0.79468004,  0.83165180,
  0.74976249,  0.83237145,  0.88344260,
  0.52492378,  0.58120895,  0.61678612,
  0.42998799,  0.50086430,  0.52953201,
  0.55619343,  0.62545826,  0.64281128,
  0.53878142,  0.67695937,  0.72135177,
  0.65319117,  0.73646091,  0.75892918,
  0.59031889,  0.66076748,  0.68963572,
  0.64358443,  0.78457131,  0.83585821,
  0.70437203,  0.81309150,  0.85419486,
  0.55353880,  0.63103039,  0.65629562,
  0.58679375,  0.65993478,  0.68102903,
  0.50464528,  0.57246058,  0.59524337,
  0.51897735,  0.58850818,  0.61039639,
  0.73724963,  0.81847992,  0.86869874,
  0.59555971,  0.66993298,  0.68761569,
  0.60201041,  0.69004577,  0.72376861,
  0.61531033,  0.70038088,  0.73296514,
  0.58186682,  0.65560570,  0.67553352,
  0.52941253,  0.60102968,  0.62502046,
  0.55294642,  0.62335083,  0.64694017,
  0.67115159,  0.75491266,  0.77487967,
  0.62839822,  0.70665292,  0.72893804,
